lc,angle_deg,d_eval_mm,EA_J,EA_std
LC2,56.25,108.91304347826087,55.09657157676807,1.1932022688618582
LC2,56.25,111.95652173913044,56.349125369159495,1.258485473226369
LC2,56.25,115.0,57.45776875813802,1.3126890245740805
LC2,61.25,45.0,19.15670331319173,0.23741267949456785
LC2,61.25,48.04347826086956,20.652449073422932,0.23772474370913477
LC2,61.25,51.08695652173913,22.17455119441673,0.2370101482077271
LC2,61.25,54.130434782608695,23.70782963665211,0.241151078660169
LC2,61.25,57.173913043478265,25.235495088181057,0.25129903475055915
LC2,61.25,60.21739130434783,26.747313195380613,0.2616975829495319
LC2,61.25,63.26086956521739,28.253946700533806,0.2665282614502906
LC2,61.25,66.30434782608695,29.795407594689998,0.2669867691815731
LC2,61.25,69.34782608695653,31.417110014652863,0.26814494362152647
LC2,61.25,72.3913043478261,33.13080549470469,0.27245573147074237
LC2,61.25,75.43478260869566,34.92006182555416,0.2813062705930482
LC2,61.25,78.47826086956522,36.768210530856955,0.301040027618641
LC2,61.25,81.52173913043478,38.659804574533354,0.34115800007367875
LC2,61.25,84.56521739130434,40.56830203936296,0.3993118305365403
LC2,61.25,87.6086956521739,42.454347891508085,0.45776858407344073
LC2,61.25,90.65217391304348,44.27081848457815,0.5020695591911551
LC2,61.25,93.69565217391305,45.96925696313094,0.5323869796772447
LC2,61.25,96.73913043478261,47.513169482134394,0.5582626044558457
LC2,61.25,99.78260869565219,48.890462161262256,0.5870235967572552
LC2,61.25,102.82608695652175,50.113238555797636,0.6186974177080801
LC2,61.25,105.86956521739131,51.207551859427184,0.6492523767246272
LC2,61.25,108.91304347826087,52.202520559375415,0.674919186491431
LC2,61.25,111.95652173913044,53.12399473973518,0.6936291934428348
LC2,61.25,115.0,53.99265427059598,0.7044936732652008
LC2,66.25,45.0,23.71463680267334,1.0253055487055556
LC2,66.25,48.04347826086956,25.365797015203942,1.029878856489886
LC2,66.25,51.08695652173913,27.02198789200345,1.0379295375327326
LC2,66.25,54.130434782608695,28.69653235541449,1.050439069048739
LC2,66.25,57.173913043478265,30.41940150053605,1.06741531511651
LC2,66.25,60.21739130434783,32.236233867884835,1.0872993858854338
LC2,66.25,63.26086956521739,34.16181016083501,1.1106329971852964
LC2,66.25,66.30434782608695,36.13795860032528,1.138258313244
LC2,66.25,69.34782608695653,38.08955140966149,1.1598708510268263
LC2,66.25,72.3913043478261,39.983284171652684,1.1590391511668594
LC2,66.25,75.43478260869566,41.822184069721025,1.1224352405011655
LC2,66.25,78.47826086956522,43.6171577932754,1.0485952754420715
LC2,66.25,81.52173913043478,45.36391451738883,0.9622925545651438
LC2,66.25,84.56521739130434,47.044845498126485,0.9077578432091614
LC2,66.25,87.6086956521739,48.64654223124186,0.9192443331810348
LC2,66.25,90.65217391304348,50.16788649443843,0.9978060409716861
LC2,66.25,93.69565217391305,51.61759896209274,1.1148528303166696
LC2,66.25,96.73913043478261,53.007585838797006,1.2377903754328756
LC2,66.25,99.78260869565219,54.34755714158505,1.347774485003046
LC2,66.25,102.82608695652175,55.64573526612802,1.438346450710363
LC2,66.25,105.86956521739131,56.9161437674997,1.506824320783768
LC2,66.25,108.91304347826087,58.18382635439075,1.551713805311823
LC2,66.25,111.95652173913044,59.47860898372633,1.5755389344832422
LC2,66.25,115.0,60.81942664252387,1.585820228170757
